u,g,r,i,z,gaia_g,bp,rp
16.9291,16.0254,15.7694,15.678,15.6833,15.75521,16.0013,15.35103
18.2344,17.3326,17.0251,16.9376,16.9009,17.03232,17.29434,16.61458
17.4785,16.4885,16.1392,15.9787,15.9268,16.12588,16.43943,15.64748
17.1541,16.3029,15.9799,15.8416,15.8232,15.96537,16.24899,15.51363
18.9235,17.7944,17.2534,16.9842,16.8592,17.22987,17.67555,16.64235
16.3428,15.4107,15.0742,14.9528,14.966,15.07402,15.3408,14.64409
16.2475,15.3328,15.0963,15.0513,15.0457,15.06492,15.27938,14.69153
16.7744,15.8305,15.4642,15.3175,15.28,15.46177,15.7567,14.99643
17.1369,16.2747,16.0095,15.9399,15.8603,15.98476,16.22777,15.59244
16.0495,15.1444,14.8397,14.7337,14.7265,14.82634,15.08659,14.3997
17.5326,16.5929,16.3458,16.2269,16.2168,16.31225,16.56342,15.89251
17.1452,16.2262,15.8828,15.7769,15.7439,15.88684,16.15767,15.45112
17.5893,16.6682,16.3954,16.3094,16.2983,16.3854,16.63885,15.9668
17.6141,16.644,16.3093,16.1845,16.1017,16.28935,16.57013,15.83716
18.6388,17.6809,17.3176,17.2058,17.0949,17.31541,17.6354,16.80669
18.3574,17.3756,17.0891,16.9913,16.9825,17.09299,17.34927,16.68373
16.4829,15.6375,15.3943,15.3168,15.2809,15.35374,15.58453,14.96435
17.0916,16.1077,15.7354,15.606,15.5835,15.74186,16.04447,15.26782
18.1111,17.1375,16.8354,16.7613,16.7196,16.84266,17.10438,16.42064
17.0633,16.0831,15.7265,15.5881,15.5496,15.729,16.02065,15.26299
16.6576,15.6682,15.3053,15.1644,15.13,15.30169,15.59942,14.82774
17.0292,16.2136,15.932,15.7899,15.7646,15.89851,16.16689,15.46119
17.6448,16.6679,16.3333,16.2268,16.2073,16.3376,16.60969,15.90405
15.60364,14.64874,14.289,14.209,14.15457,14.31203,14.58745,13.86421
17.42044,16.37358,15.93504,15.84766,15.80451,15.94907,16.23613,15.49478
16.8722,15.9726,15.6883,15.552,15.5387,15.67203,15.93379,15.24923
16.40157,15.40197,15.06271,14.95242,14.94091,15.06792,15.34742,14.62354
17.7241,16.7816,16.4513,16.3366,16.2859,16.44807,16.72517,16.00343
16.6096,15.6323,15.2929,15.1904,15.1981,15.29806,15.56509,14.86261
17.646,16.7595,16.3967,16.2236,16.121,16.36308,16.6624,15.87979
17.1137,16.2629,15.9823,15.8894,15.8208,15.95288,16.20412,15.54471
17.75898,16.81124,16.46268,16.32629,16.27564,16.45288,16.73126,15.99858
17.8845,16.8829,16.5413,16.4027,16.3432,16.53787,16.84541,16.07134
16.8469,15.8609,15.5452,15.4158,15.383,15.52787,15.80403,15.07749
18.1664,17.1796,16.814,16.715,16.6344,16.83991,17.13871,16.3812
18.13002,17.15199,16.88551,16.75577,16.75852,16.8803,17.15456,16.44705
16.2946,15.423,15.1251,15.0243,15.0403,15.11713,15.36207,14.70756
